Alboc Noblemaster
Mirdar Noblegut
Drigad Metalbeam
Sroathemm Rumblemark
Rarum Silverseeker
Nangogzik Magmaheart
Zedorbak Shatterbough
Nangrathruc Fusebluff
Ugetrok Thunderheart
Gingaigrug Fullpunch
Darbad Grumblegrip
Grelgoagg Brightfinger
Surur Commonrage
Saoram Grudgebone
Kraider Ambersworn
Srigobrom Rumblebringer
Trurgardimm Flinthand
Grothridurd Stoutbreaker
Githirbor Hammermight
Sigzorugg Noblehead
Greldamm Coalbringer
Gregzeg Stoutmight
Kragrerd Ambersworn
Rakam Brokenfury
Krikram Coalfeet
Aurbelird Hammermore
Irgagzim Hillbrand
Rethilban Casksurge
Trikongrut Forgebelly
Srukugdaod Steelfists
Krailbaigg Autumnmantle
Drodomm Hillcrest
Gundin Farmark
Thubroc Greatsworn
Brulgroc Coalbough
Rirunrim Ironarmor
Rigmorik Thunderbreaker
Bragmurud Commonbrand
Verbugid Magmachin
Rithutrugg Fullbuckle
