Thakhith Voidcleaver
Rikhe Shadeslayer
Lelno Flamecaller
Lelnah Ashsurge
Vasen Fellrunner
Nettovi Steelreaper
Hosora Hazestalker
Rabeggo Emberbasher
Rarsoran Silentfury
Mavolna Battlestride
Ricon Cindersorrow
Lolleh Voidreaver
Sasah Skullscar
Necesh Deathblaze
Nibath Steelmaul
Hirterro Stormrider
Thetharse Deadstrike
Masacis Nightaxe
Cechabos Doomcaller
Lorsakhe Cinderheart
Lisa Ragestalker
Rarta Voidbreaker
Reseth Dustbreaker
Ceggin Fellcutter
Lare Gloomhunter
Mollito Amberbasher
Lebessan Netherreaver
Focoghe Deadbreaker
Rihirri Falleneyes
Feboloth Nightshard
