Bel-Ithlol The Swift
Hadic The Incredible
Fozyal The Stark
Ithaer The Slayer
Gentriol The Clever
Kuribrac The Wild
Bel-Zaledrus The Celebrated
Bel-Zaervagror The Patient
Shuredin The Proud
Volrelac The Artist
Acon
Zulcia
Calgia
Tralcae
Kasro
Tracokith
Zuzcadro
Vaerluslian
Ortudaes
Kudaeda
Durcer Rainshade
Larcan Hellarrow
Lergal Fallheart
Gucot Wildbleeder
Vorlok Stormripper
Giluves Dawneye
Mankikkes Raincutter
Kaugucal Emberhand
Dennekzus Deadmantle
Qacekrak Cinderhunter
Reles Dreadstalker
Dovak Emberstride
Lanaul Bloodeyes
Turgul Hellhunter
Likhet Shadowrider
Muvurcol Dustbinder
Dololker Grimstriker
Qelgauvran Fallblade
Mellocer Hellshade
Maculuth Wildblight
